"","title","Author","Affiliation","Country","Zone","paper_zone","paper_country","Year","Journal","journals_2","field","bio_monet","main_method","biodiv_objective","partial_general","...16","biodiv_measure","biodiv_direct","biodiv_functional_historical","biodiv_indicator_level","biodiv_indicator_use","biodiv_proxy","...23","species_2","species","biodiv_type","ess_binary","ess_type","ess_measure","paper_empirical","method_static","method_resolution","method_spatial","spatial_ecology","spatial_economy","positive_normative","comments","affiliation_class","FLAG","keywords","keywords2","ecological_model","stoch_ecol","stoch_econ","habitat2","biodiv_type2","id_unique_author","last_names_author"
"1","CONSERVATION OF WILDLIFE. A BIO‐ECONOMIC MODEL OF A WILDLIFE RESERVE UNDER THE PRESSURE OF HABITAT DESTRUCTION AND HARVESTING OUTSIDE THE RESERVE","Anders Skonhoft","Department of Economics Norwegian University of Science and Technology Trondheim","Norway","Europe","Europe","Norway",2005,"Natural Resource Modeling","Sustainable science","Sustainable science","Yes","CBA","Objective","Partial",NA,"Two sub populations","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - not specified - Game",0,"0","0","Theoretical","Dynamic","Closed form","Ecological explicit and economic absent","Explicit","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Park_reserve","remarkable_endangered",1,"skonhoft"
"2","CONSERVATION OF WILDLIFE. A BIO‐ECONOMIC MODEL OF A WILDLIFE RESERVE UNDER THE PRESSURE OF HABITAT DESTRUCTION AND HARVESTING OUTSIDE THE RESERVE","Claire W. Armstrong","Department of Economics Norwegian College of Fishery Science University of Tromsø","Norway","Europe","Europe","Norway",2005,"Natural Resource Modeling","Sustainable science","Sustainable science","Yes","CBA","Objective","Partial",NA,"Two sub populations","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Mammalia - not specified - Game",0,"0","0","Theoretical","Dynamic","Closed form","Ecological explicit and economic absent","Explicit","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Park_reserve","remarkable_endangered",2,"armstrong"
"3","Does proactive biodiversity conservation save costs?","Martin Drechsler","Department of Ecological Modelling, Helmholtz Centre for Environmental Research, Permoserstr 15, 04318 Leipzig, Germany","Germany","Europe","Europe","Germany",2011,"Biodiversity and Conservation","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of structure","Habitat",NA,NA,"Single","Animal - Mammalia - Rodentia - Hamster",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive","Population is assimilated with habitat","Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Other","No","No","Urban","remarkable_endangered",3,"drechsler"
"4","Does proactive biodiversity conservation save costs?","Florian V. Eppink","Department of Computational Landscape Ecology, Helmholtz Centre for Environmental Research, Permoserstr 15, 04318 Leipzig, Germany","Germany","Europe","Europe","Germany",2011,"Biodiversity and Conservation","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of structure","Habitat",NA,NA,"Single","Animal - Mammalia - Rodentia - Hamster",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive","Population is assimilated with habitat","Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Other","No","No","Urban","remarkable_endangered",4,"eppink"
"5","Does proactive biodiversity conservation save costs?","Frank Wätzold","Faculty of Environmental Sciences and Process Engineering, Brandenburg Technical University of Cottbus, P.O. Box 101344, 03013 Cottbus, Germany","Germany","Europe","Europe","Germany",2011,"Biodiversity and Conservation","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of structure","Habitat",NA,NA,"Single","Animal - Mammalia - Rodentia - Hamster",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive","Population is assimilated with habitat","Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Other","No","No","Urban","remarkable_endangered",5,"wätzold"
"6","Optimal policies aimed at stabilization of populations with logistic growth under human intervention","Erica Cruz-Rivera","Universidad del Valle","Colombia","South America","South America","Colombia",2013,"Journal of Theoretical Biology","Ecology","Biology","No","CBA","Objective","Partial",NA,"Single variable","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Unclear if its about extinction or conservation","Mathematics","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",6,"cruz-rivera"
"7","Optimal policies aimed at stabilization of populations with logistic growth under human intervention","Olga Vasilieva","Universidad del Valle","Colombia","South America","South America","Colombia",2013,"Journal of Theoretical Biology","Ecology","Biology","No","CBA","Objective","Partial",NA,"Single variable","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Absent","Absent","Absent","Normative","Unclear if its about extinction or conservation","Mathematics","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",7,"vasilieva"
"8","Optimal Ecosystem Management when Species Compete for Limiting Resources","William A Brock","Department of Economics, University of Wisconsin","USA","North America","Mixed : America Europe","USA & Greece",2002,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","General",NA,"Species number and equilibrium size","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Dynamic","Closed form","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","No","No","Agriculture","Not applicable",8,"brock"
"9","Optimal Ecosystem Management when Species Compete for Limiting Resources","ANASTASIOS XEPAPADEAS","Department of Economics, University of Crete,","Greece","Europe","Mixed : America Europe","USA & Greece",2002,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","General",NA,"Species number and equilibrium size","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Dynamic","Closed form","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","No","No","Agriculture","Not applicable",9,"xepapadeas"
"10","Valuing Biodiversity from an Economic Perspective: A Unified Economic, Ecological, and Genetic Approach","William A Brock","Department of Economics, University of Wisconsin","USA","North America","Mixed : America Europe","USA & Greece",2003,"American Economic Review","Economics","Economics","Yes","CBA","Objective","General",NA,"Different gene  pools and plant pest interaction","Directly","Functional and genetic","Community","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant",1,"1","1","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","The term service is pervasive, but is not framed as eco-system service. Nonetheless, the paper is about managing an ecosystem made of plants to maximise the output in terms of human services. + notion of invasive species","Economics (full, applied, agricultural, environmental, ecological)",NA,"Ecosystem","Ecosystem","Population dynamics","No","No","Agriculture","Common",8,"brock"
